volcanoNumber;volcanoName;Eruption Number;Eruption Category;Area of Activity;VEI;VEI Modifier;edate;StartYear;Start Year Uncertainty;Start Month;Start Day Modifier;Start Day;Start Day Uncertainty;Evidence Method (dating);End Year;End Year Uncertainty;End Month;End Day Modifier;End Day;End Day Uncertainty;Latitude;Longitude
300130;Karymsky;22609;Confirmed Eruption;;;;2025-4-30;2025;;4;;30;;Observations: Reported;2025;;5;;2;;54,049;159,443
273010;Bulusan;22608;Confirmed Eruption;;;;2025-4-28;2025;;4;;28;;Observations: Reported;2025;;5;;2;;12,769;124,056
334050;Northern EPR at 9.8°N;22613;Confirmed Eruption;Tica hydrothermal vent, 9°50’N (9.83°N);0;;2025-4-28;2025;;4;;28;;Observations: Reported;2025;;4;;29;;9,83;-104,3
300260;Klyuchevskoy;22610;Confirmed Eruption;;;;2025-4-8;2025;;4;;8;;Observations: Reported;2025;;5;;2;;56,056;160,642
371020;Reykjanes;22612;Confirmed Eruption;;;;2025-4-1;2025;;4;;1;;Observations: Reported;2025;;4;;1;;63,817;-22,717
252120;Ulawun;22606;Confirmed Eruption;;;;2025-3-27;2025;;3;;27;;Observations: Reported;2025;;4;;21;;-5,05;151,33
263340;Raung;22607;Confirmed Eruption;;;;2025-3-13;2025;;3;;13;;Observations: Reported;2025;;3;;13;;-8,119;114,056
311160;Atka Volcanic Complex;22611;Confirmed Eruption;;;;2025-2-20;2025;;2;;20;;Observations: Reported;2025;;5;;2;;52,331;-174,139
351060;Purace;22604;Confirmed Eruption;;;;2025-1-19;2025;;1;;19;;Observations: Reported;2025;;2;;21;;2,3095;-76,3948
264230;Lewotolok;22601;Confirmed Eruption;;;;2025-1-16;2025;;1;;16;;Observations: Reported;2025;;5;;2;;-8,274;123,508
344040;Telica;22602;Confirmed Eruption;;;;2025-1-11;2025;;1;;11;;Observations: Reported;2025;;5;;2;;12,606;-86,84
345040;Poas;22603;Confirmed Eruption;;;;2025-1-5;2025;;1;;5;;Observations: Reported;2025;;5;;2;;10,2;-84,233
300250;Bezymianny;22605;Confirmed Eruption;;;;2024-12-24;2024;;12;;24;;Observations: Satellite (infrared);2025;;5;;2;;55,972;160,595
332010;Kilauea;22597;Confirmed Eruption;Halema'uma'u Crater;0;;2024-12-23;2024;;12;;23;;Observations: Photo / Video;2025;;5;;2;;19,421;-155,287
263200;Dieng Volcanic Complex;22600;Confirmed Eruption;;;;2024-12-18;2024;;12;;18;;Observations: Reported;2025;;1;;6;;-7,2;109,879
263340;Raung;22593;Confirmed Eruption;;;;2024-12-15;2024;;12;;15;;Observations: Reported;2024;;12;;24;;-8,119;114,056
243080;Home Reef;22591;Confirmed Eruption;;;;2024-12-4;2024;;12;;4;;Observations: Reported;2025;;5;;2;;-18,992;-174,775
261230;Dempo;22592;Confirmed Eruption;;;;2024-11-23;2024;;11;;23;;Observations: Reported;2025;;2;;2;;-4,016;103,121
272020;Kanlaon;22594;Confirmed Eruption;;;;2024-10-19;2024;;10;;19;;Observations: Reported;2025;;5;;2;;10,4096;123,13
357090;Copahue;22596;Confirmed Eruption;;;;2024-10-16;2024;;10;;16;1;Observations: Reported;2024;;10;;27;1;-37,856;-71,183
257040;Ambrym;22598;Confirmed Eruption;;;;2024-10-3;2024;;10;;3;;Observations: Satellite (infrared);2024;;11;;12;;-16,25;168,12
332010;Kilauea;22587;Confirmed Eruption;Napau Crater;;;2024-9-15;2024;;9;;15;;Observations: Reported;2024;;9;;20;;19,421;-155,287
282060;Kikai;22588;Confirmed Eruption;;;;2024-9-1;2024;;9;;1;;Observations: Reported;2024;;10;;17;;30,793;130,305
284141;Ahyi;22595;Confirmed Eruption;;;;2024-8-5;2024;;8;;5;;Observations: Reported;2025;;5;;2;;20,42;145,03
344020;San Cristobal;22582;Confirmed Eruption;;;;2024-7-5;2024;;7;;5;;Observations: Reported;2024;;7;;7;;12,702;-87,004
257030;Ambae;22580;Confirmed Eruption;;;;2024-6-29;2024;;6;;29;;Observations: Reported;2024;;6;;30;;-15,389;167,835
300130;Karymsky;22581;Confirmed Eruption;;;;2024-6-20;2024;;6;;20;;Observations: Reported;2024;;11;;12;;54,049;159,443
243080;Home Reef;22579;Confirmed Eruption;;;;2024-6-10;2024;;6;;10;;Observations: Satellite (infrared);2024;;7;;4;;-18,992;-174,775
332010;Kilauea;22566;Confirmed Eruption;Southwest Rift Zone;;;2024-6-3;2024;;6;;3;;Observations: Reported;2024;;6;;3;;19,421;-155,287
272020;Kanlaon;22567;Confirmed Eruption;;3;;2024-6-3;2024;;6;;3;;Observations: Reported;2024;;6;;3;;10,4096;123,13
273030;Mayon;22589;Confirmed Eruption;;2;;2024-5-30;2024;;5;;30;;Observations: Reported;2024;;7;;18;;13,257;123,685
261170;Kerinci;22568;Confirmed Eruption;;2;;2024-5-28;2024;;5;;28;;Observations: Satellite (visual);2024;;5;;28;;-1,697;101,264
261230;Dempo;22569;Confirmed Eruption;;1;;2024-5-27;2024;;5;;27;;Observations: Reported;2024;;5;;31;;-4,016;103,121
261270;Suoh;22570;Confirmed Eruption;;;;2024-5-24;2024;;5;;24;;Observations: Reported;2024;;5;;24;;-5,25;104,27
241040;Whakaari/White Island;22573;Confirmed Eruption;;;;2024-5-24;2024;;5;;24;;Observations: Reported;2025;;5;;2;;-37,52;177,18
344120;Concepcion;22571;Confirmed Eruption;;;;2024-5-16;2024;;5;;16;;Observations: Reported;2024;;5;;16;;11,538;-85,622
354020;Ubinas;22572;Confirmed Eruption;;;;2024-5-6;2024;;5;;6;;Observations: Reported;2024;;6;;11;;-16,345;-70,8972
267010;Ruang;22562;Confirmed Eruption;;;;2024-4-16;2024;;4;;16;;Observations: Reported;2024;;5;;7;;2,3058;125,3671
273070;Taal;22563;Confirmed Eruption;;;;2024-4-12;2024;;4;;12;;Observations: Reported;2025;;2;;16;;14,0106;120,9975
311160;Atka Volcanic Complex;22564;Confirmed Eruption;;;;2024-3-27;2024;;3;;27;;Observations: Reported;2024;;3;;27;;52,331;-174,139
260010;Barren Island;22561;Confirmed Eruption;;;;2024-3-15;2024;;3;;15;;Observations: Satellite (infrared);2024;;5;;29;;12,278;93,858
353010;Fernandina;22560;Confirmed Eruption;SE flank;1;;2024-3-2;2024;;3;;2;;Observations: Satellite (visual);2024;;5;;8;;-0,37;-91,55
257040;Ambrym;22554;Confirmed Eruption;;;;2024-1-13;2024;;1;;13;;Observations: Reported;2024;;1;;16;;-16,25;168,12
284141;Ahyi;22557;Confirmed Eruption;;;;2024-1-1;2024;;1;;1;;Observations: Satellite (visual);2024;;3;;27;;20,42;145,03
264180;Lewotobi;22556;Confirmed Eruption;;2;;2023-12-23;2023;;12;;23;;Observations: Reported;2025;;5;;2;;-8,542;122,775
311110;Kanaga;22558;Confirmed Eruption;;1;;2023-12-18;2023;;12;;18;;Observations: Seismicity;2023;;12;;18;;51,923;-177,168
371020;Reykjanes;22553;Confirmed Eruption;Sundhnúkagígar, Svartsengi fissure swarm;1;;2023-12-18;2023;;12;;18;;Observations: Reported;2024;;12;;8;;63,817;-22,717
263310;Tengger Caldera;22555;Confirmed Eruption;;1;;2023-12-13;2023;;12;;13;;Observations: Reported;2023;;12;;13;;-7,942;112,95
257030;Ambae;22549;Confirmed Eruption;;2;;2023-12-11;2023;;12;;11;;Observations: Reported;2023;;12;;21;;-15,389;167,835
261140;Marapi;22550;Confirmed Eruption;;2;;2023-12-3;2023;;12;;3;;Observations: Reported;2025;;5;;2;;-0,38;100,474
345040;Poas;22559;Confirmed Eruption;;1;;2023-12-1;2023;;12;;1;;Observations: Reported;2024;;5;;5;;10,2;-84,233
351060;Purace;22552;Confirmed Eruption;;1;;2023-11-16;2023;;11;;16;;Observations: Reported;2023;;11;;16;;2,3095;-76,3948
284120;Ioto;22551;Confirmed Eruption;;1;;2023-10-18;2023;;10;;18;;Observations: Satellite (visual);2024;;3;;16;;24,751;141,289
243080;Home Reef;22548;Confirmed Eruption;;1;;2023-10-12;2023;;10;;12;;Observations: Reported;2023;;10;;19;;-18,992;-174,775
284202;Ruby;22547;Confirmed Eruption;;1;;2023-9-14;2023;;9;;14;;Observations: Reported;2023;;9;;15;;15,605;145,572
345040;Poas;22541;Confirmed Eruption;;1;;2023-8-2;2023;;8;;2;;Observations: Reported;2023;;8;;11;;10,2;-84,233
261230;Dempo;22536;Confirmed Eruption;;2;;2023-7-25;2023;;7;;25;;Observations: Reported;2023;;8;;21;;-4,016;103,121
252120;Ulawun;22535;Confirmed Eruption;;3;;2023-7-18;2023;;7;;18;;Observations: Reported;2023;;12;;31;;-5,05;151,33
311360;Shishaldin;22539;Confirmed Eruption;;3;;2023-7-11;2023;;7;;11;1;Observations: Reported;2023;;11;;3;;54,756;-163,97
371032;Fagradalsfjall;22543;Confirmed Eruption;;0;;2023-7-10;2023;;7;;10;;Observations: Reported;2023;;8;;5;;63,895;-22,258
344020;San Cristobal;22540;Confirmed Eruption;;1;;2023-7-5;2023;;7;;5;;Observations: Reported;2023;;7;;5;;12,702;-87,004
233020;Fournaise, Piton de la;22534;Confirmed Eruption;N of Piton Vouvoul;0;;2023-7-2;2023;;7;;2;;Observations: Reported;2023;;8;;10;;-21,244;55,708
300260;Klyuchevskoy;22538;Confirmed Eruption;;3;;2023-6-22;2023;;6;;22;;Observations: Reported;2023;;12;;31;;56,056;160,642
354020;Ubinas;22542;Confirmed Eruption;;3;;2023-6-22;2023;;6;;22;;Observations: Reported;2023;;12;;15;;-16,345;-70,8972
273030;Mayon;22521;Confirmed Eruption;;2;;2023-4-27;2023;;4;;27;2;Observations: Reported;2024;;2;;4;;13,257;123,685
252120;Ulawun;22508;Confirmed Eruption;;1;;2023-3-28;2023;;3;;28;;Observations: Reported;2023;;3;;28;;-5,05;151,33
257030;Ambae;22499;Confirmed Eruption;;2;;2023-2-20;2023;;2;;20;;Observations: Reported;2023;;5;;28;;-15,389;167,835
267020;Karangetang;22577;Confirmed Eruption;Kawah Utama, Main Crater, South Crater;0;;2023-2-8;2023;;2;;8;;Observations: Reported;2023;;9;;5;;2,781;125,407
257060;East Epi;22500;Confirmed Eruption;;1;;2023-1-31;2023;;1;;31;;Observations: Reported;2023;;2;;23;;-16,6797;168,3893
290360;Chikurachki;22503;Confirmed Eruption;;2;;2023-1-28;2023;;1;;28;;Observations: Reported;2023;;2;;8;;50,324;155,461
261140;Marapi;22502;Confirmed Eruption;;1;;2023-1-7;2023;;1;;7;;Observations: Reported;2023;;3;;17;;-0,38;100,474
260010;Barren Island;22501;Confirmed Eruption;;2;;2022-12-30;2022;;12;;30;;Observations: Reported;2023;;8;;18;;12,278;93,858
355100;Lascar;22493;Confirmed Eruption;;3;;2022-12-10;2022;;12;;10;;Observations: Reported;2023;;2;;3;1;-23,37;-67,73
211060;Etna;22494;Confirmed Eruption;Southeast Crater;2;;2022-11-27;2022;;11;;27;;Observations: Reported;2025;;5;;2;;37,748;14,999
332020;Mauna Loa;22492;Confirmed Eruption;Moku‘aweoweo, Northeast Rift Zone;0;;2022-11-27;2022;;11;;27;;Observations: Reported;2022;;12;;10;;19,475;-155,608
284141;Ahyi;22489;Confirmed Eruption;;1;;2022-11-18;2022;;11;;18;1;Observations: Reported;2023;;6;;11;;20,42;145,03
300260;Klyuchevskoy;22490;Confirmed Eruption;;1;;2022-11-17;2022;;11;;17;;Observations: Reported;2022;;11;?;25;;56,056;160,642
343100;San Miguel;22491;Confirmed Eruption;;2;;2022-11-15;2022;;11;;15;;Observations: Reported;2023;;5;;27;;13,434;-88,269
352050;Cotopaxi;22486;Confirmed Eruption;Summit crater;2;;2022-10-21;2022;;10;;21;;Observations: Reported;2023;;7;;6;;-0,677;-78,436
261170;Kerinci;22479;Confirmed Eruption;;2;;2022-10-15;2022;;10;;15;;Observations: Reported;2023;;2;;27;;-1,697;101,264
290260;Chirinkotan;22484;Confirmed Eruption;;2;;2022-10-7;2022;;10;;7;;Observations: Reported;2022;;10;;7;;48,98;153,48
273070;Taal;22481;Confirmed Eruption;;1;;2022-10-5;2022;;10;;5;;Observations: Reported;2022;;10;;29;;14,0106;120,9975
284096;Nishinoshima;22482;Confirmed Eruption;Central cone of 2013 island;2;;2022-10-1;2022;;10;;1;;Observations: Reported;2023;;10;;13;;27,247;140,874
233020;Fournaise, Piton de la;22477;Confirmed Eruption;;0;;2022-9-19;2022;;9;;19;;Observations: Reported;2022;;10;;5;;-21,244;55,708
243080;Home Reef;22478;Confirmed Eruption;;2;;2022-9-10;2022;;9;;10;;Observations: Reported;2022;;10;;17;;-18,992;-174,775
290390;Alaid;22485;Confirmed Eruption;;2;;2022-9-10;2022;;9;;10;;Observations: Reported;2022;;11;;26;;50,861;155,565
284100;Kaitoku Seamount;22483;Confirmed Eruption;;0;;2022-8-18;2022;;8;;18;;Observations: Reported;2023;;1;;26;;26,1217;141,0955
371032;Fagradalsfjall;22459;Confirmed Eruption;;0;;2022-8-3;2022;;8;;3;;Observations: Reported;2022;;8;;21;;63,895;-22,258
345070;Turrialba;22458;Confirmed Eruption;;1;;2022-7-17;2022;;7;;17;;Observations: Reported;2022;;7;;17;;10,025;-83,767
284120;Ioto;22455;Confirmed Eruption;Off SE coast;1;;2022-7-11;2022;;7;;11;;Observations: Reported;2022;;12;;11;;24,751;141,289
290380;Ebeko;22457;Confirmed Eruption;;2;;2022-6-11;2022;;6;;11;;Observations: Reported;2024;;12;;31;;50,686;156,014
273030;Mayon;22480;Confirmed Eruption;;0;;2022-6-6;2022;;6;;6;;Observations: Reported;2022;;10;;7;;13,257;123,685
273010;Bulusan;22450;Confirmed Eruption;;2;;2022-6-5;2022;;6;;5;;Observations: Reported;2022;;6;;12;;12,769;124,056
252120;Ulawun;22453;Confirmed Eruption;;2;;2022-6-2;2022;;6;;2;;Observations: Reported;2022;;6;;2;;-5,05;151,33
261230;Dempo;22446;Confirmed Eruption;;1;;2022-5-31;2022;;5;;31;;Observations: Reported;2022;;5;;31;;-4,016;103,121
263340;Raung;22454;Confirmed Eruption;;2;;2022-5-14;2022;;5;;14;;Observations: Satellite (infrared);2022;;9;;27;;-8,119;114,056
257020;Gaua;22445;Confirmed Eruption;Mt. Garet;1;;2022-5-3;2022;;5;;3;;Observations: Reported;2022;;5;;3;;-14,281;167,514
345040;Poas;22448;Confirmed Eruption;Crater lake - Fumarola Naranja;1;;2022-4-6;2022;;4;;6;;Observations: Reported;2022;;4;;6;;10,2;-84,233
351060;Purace;22451;Confirmed Eruption;Between Puracé and Curiquinga;1;;2022-3-29;2022;;3;;29;;Observations: Reported;2022;;3;;29;;2,3095;-76,3948
284110;Kita-Ioto;22447;Confirmed Eruption;Funka-Asane;1;;2022-3-27;2022;;3;;27;;Observations: Reported;2022;;3;;27;;25,424;141,284
300250;Bezymianny;22586;Confirmed Eruption;Summit crater;;;2022-3-15;2022;;3;;15;;Observations: Reported;2024;;8;;14;2;55,972;160,595
264050;Sangeang Api;22434;Confirmed Eruption;;2;;2022-2-17;2022;;2;;17;;Observations: Reported;2022;;2;;17;;-8,2;119,07
257040;Ambrym;22430;Confirmed Eruption;Benbow Crater;1;;2022-1-25;2022;;1;;25;;Observations: Reported;2022;;2;;2;1;-16,25;168,12
290360;Chikurachki;22456;Confirmed Eruption;;2;;2022-1-17;2022;;1;;17;;Observations: Satellite (visual);2022;;10;;17;;50,324;155,461
353020;Wolf;22431;Confirmed Eruption;;2;;2022-1-6;2022;;1;;6;;Observations: Reported;2022;;4;;14;;0,02;-91,35
233020;Fournaise, Piton de la;22396;Confirmed Eruption;S flank of Enclos Fouque, SE of Piton Kala Pélé and SW of Château Fort;0;;2021-12-22;2021;;12;;22;;Observations: Seismicity;2022;;1;;17;;-21,244;55,708
243040;Hunga Tonga-Hunga Ha'apai;22429;Confirmed Eruption;;5;;2021-12-20;2021;;12;;20;;Observations: Reported;2022;;1;;15;;-20,5532;-175,3841
257030;Ambae;22420;Confirmed Eruption;;1;;2021-12-5;2021;;12;;5;;Observations: Reported;2022;;8;;15;10;-15,389;167,835
273083;Pinatubo;22423;Confirmed Eruption;;1;;2021-11-30;2021;;11;;30;;Observations: Reported;2021;;11;;30;;15,13;120,35
264250;Iliwerung;22421;Confirmed Eruption;;0;;2021-11-28;2021;;11;;28;;Observations: Reported;2021;;11;;29;;-8,532;123,573
257020;Gaua;22475;Confirmed Eruption;Mt. Garet;1;;2021-11-16;2021;;11;;16;;Observations: Reported;2021;;11;;16;;-14,281;167,514
273070;Taal;22452;Confirmed Eruption;Main Crater;2;;2021-11-15;2021;;11;;15;;Observations: Reported;2022;;4;;1;;14,0106;120,9975
345070;Turrialba;22425;Confirmed Eruption;;1;;2021-11-3;2021;;11;;3;;Observations: Reported;2022;;2;;28;;10,025;-83,767
267020;Karangetang;22575;Confirmed Eruption;Uncertain which summit crater;2;;2021-10-25;2021;;10;;25;;Observations: Reported;2022;;1;?;10;;2,781;125,407
282110;Asosan;22424;Confirmed Eruption;;2;;2021-10-14;2021;;10;;14;;Observations: Reported;2021;;10;;20;;32,8849;131,085
332010;Kilauea;22416;Confirmed Eruption;Halema`uma`u Crater.;0;;2021-9-29;2021;;9;;29;;Observations: Reported;2023;;9;;16;;19,421;-155,287
383010;La Palma;22417;Confirmed Eruption;Tajogaite eruption;3;;2021-9-19;2021;;9;;19;;Observations: Reported;2021;;12;;13;;28,57;-17,83
284096;Nishinoshima;22407;Confirmed Eruption;Central cone of 2013 island;2;;2021-8-14;2021;;8;;14;;Observations: Reported;2021;;8;;15;;27,247;140,874
284130;Fukutoku-Oka-no-Ba;22408;Confirmed Eruption;;4;;2021-8-13;2021;;8;;13;;Observations: Reported;2021;;9;?;12;;24,285;141,481
284120;Ioto;22522;Confirmed Eruption;Off SE coast;1;;2021-8-12;2021;;8;;12;;Observations: Aviation;2021;;11;;24;;24,751;141,289
290260;Chirinkotan;22410;Confirmed Eruption;;2;;2021-8-8;2021;;8;;8;;Observations: Reported;2021;;8;;26;;48,98;153,48
312030;Pavlof;22411;Confirmed Eruption;;2;;2021-8-5;2021;;8;;5;;Observations: Reported;2022;;12;;7;;55,417;-161,894
284170;Pagan;22409;Confirmed Eruption;;2;;2021-7-29;2021;;7;;29;;Observations: Reported;2021;;9;;6;;18,13;145,8
264270;Sirung;22405;Confirmed Eruption;;1;;2021-7-21;2021;;7;;21;;Observations: Reported;2021;;7;;21;;-8,4972;124,1306
252120;Ulawun;22414;Confirmed Eruption;;2;;2021-7-9;2021;;7;;9;;Observations: Reported;2021;;11;;29;;-5,05;151,33
357090;Copahue;22413;Confirmed Eruption;;1;;2021-7-2;2021;;7;;2;;Observations: Reported;2021;;11;;6;;-37,856;-71,183
273070;Taal;22406;Confirmed Eruption;;1;;2021-7-1;2021;;7;;1;;Observations: Reported;2021;;7;;9;;14,0106;120,9975
345020;Rincon de la Vieja;22412;Confirmed Eruption;;2;;2021-6-28;2021;;6;;28;;Observations: Reported;2024;;10;;22;;10,83;-85,324
